Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/11/01;09:03:46;División Atlántico;1;New York Knicks;6;5;1;702;659;43
2021/11/01;09:03:46;División Atlántico;2;Philadelphia 76ers;6;4;2;672;622;50
2021/11/01;09:03:46;División Atlántico;3;Toronto Raptors;7;4;3;726;698;28
2021/11/01;09:03:46;División Atlántico;4;Brooklyn Nets;7;4;3;732;732;0
2021/11/01;09:03:46;División Atlántico;5;Boston Celtics;6;2;4;683;710;-27
2021/11/01;09:03:46;División Central;1;Chicago Bulls;6;5;1;640;593;47
2021/11/01;09:03:46;División Central;2;Milwaukee Bucks;7;3;4;758;783;-25
2021/11/01;09:03:46;División Central;3;Cleveland Cavaliers;7;3;4;718;730;-12
2021/11/01;09:03:46;División Central;4;Detroit Pistons;6;1;5;577;643;-66
2021/11/01;09:03:46;División Central;5;Indiana Pacers;7;1;6;759;788;-29
2021/11/01;09:03:46;División Sureste;1;Washington Wizards;6;5;1;676;651;25
2021/11/01;09:03:46;División Sureste;2;Miami Heat;6;5;1;684;582;102
2021/11/01;09:03:46;División Sureste;3;Charlotte Hornets;7;5;2;830;807;23
2021/11/01;09:03:46;División Sureste;4;Atlanta Hawks;6;3;3;637;635;2
2021/11/01;09:03:46;División Sureste;5;Orlando Magic;7;1;6;716;795;-79
2021/11/01;09:03:46;División Noroeste;1;Utah Jazz;6;5;1;667;590;77
2021/11/01;09:03:46;División Noroeste;2;Denver Nuggets;6;4;2;608;581;27
2021/11/01;09:03:46;División Noroeste;3;Minnesota Timberwolves;5;3;2;522;503;19
2021/11/01;09:03:46;División Noroeste;4;Portland Trail Blazers;6;3;3;681;658;23
2021/11/01;09:03:46;División Noroeste;5;Oklahoma City Thunder;6;1;5;583;670;-87
2021/11/01;09:03:46;División Pacífico;1;Golden State Warriors;6;5;1;665;618;47
2021/11/01;09:03:46;División Pacífico;2;Los Angeles Lakers;7;4;3;788;784;4
2021/11/01;09:03:46;División Pacífico;3;Sacramento Kings;6;3;3;654;671;-17
2021/11/01;09:03:46;División Pacífico;4;Phoenix Suns;5;2;3;526;551;-25
2021/11/01;09:03:46;División Pacífico;5;Los Angeles Clippers;5;1;4;514;524;-10
2021/11/01;09:03:46;División Suroeste;1;Dallas Mavericks;6;4;2;590;618;-28
2021/11/01;09:03:46;División Suroeste;2;Memphis Grizzlies;6;3;3;673;702;-29
2021/11/01;09:03:46;División Suroeste;3;San Antonio Spurs;6;2;4;652;642;10
2021/11/01;09:03:46;División Suroeste;4;Houston Rockets;6;1;5;609;655;-46
2021/11/01;09:03:46;División Suroeste;5;New Orleans Pelicans;7;1;6;730;777;-47
