Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/11/03;18:03:37;División Atlántico;1;New York Knicks;7;5;2;806;772;34
2021/11/03;18:03:37;División Atlántico;2;Philadelphia 76ers;7;5;2;785;725;60
2021/11/03;18:03:37;División Atlántico;3;Toronto Raptors;8;5;3;839;802;37
2021/11/03;18:03:37;División Atlántico;4;Brooklyn Nets;7;4;3;732;732;0
2021/11/03;18:03:37;División Atlántico;5;Boston Celtics;7;2;5;797;838;-41
2021/11/03;18:03:37;División Central;1;Chicago Bulls;7;6;1;768;707;61
2021/11/03;18:03:37;División Central;2;Milwaukee Bucks;8;4;4;875;872;3
2021/11/03;18:03:37;División Central;3;Cleveland Cavaliers;8;4;4;831;840;-9
2021/11/03;18:03:37;División Central;4;Indiana Pacers;8;2;6;890;906;-16
2021/11/03;18:03:37;División Central;5;Detroit Pistons;7;1;6;666;760;-94
2021/11/03;18:03:37;División Sureste;1;Miami Heat;7;6;1;809;692;117
2021/11/03;18:03:37;División Sureste;2;Washington Wizards;7;5;2;787;769;18
2021/11/03;18:03:37;División Sureste;3;Charlotte Hornets;8;5;3;940;920;20
2021/11/03;18:03:37;División Sureste;4;Atlanta Hawks;7;4;3;755;746;9
2021/11/03;18:03:37;División Sureste;5;Orlando Magic;8;2;6;831;892;-61
2021/11/03;18:03:37;División Noroeste;1;Utah Jazz;7;6;1;786;703;83
2021/11/03;18:03:37;División Noroeste;2;Denver Nuggets;7;4;3;705;687;18
2021/11/03;18:03:37;División Noroeste;3;Minnesota Timberwolves;6;3;3;619;618;1
2021/11/03;18:03:37;División Noroeste;4;Portland Trail Blazers;7;3;4;784;771;13
2021/11/03;18:03:37;División Noroeste;5;Oklahoma City Thunder;7;1;6;677;769;-92
2021/11/03;18:03:37;División Pacífico;1;Golden State Warriors;6;5;1;665;618;47
2021/11/03;18:03:37;División Pacífico;2;Los Angeles Lakers;8;5;3;907;901;6
2021/11/03;18:03:37;División Pacífico;3;Phoenix Suns;6;3;3;638;651;-13
2021/11/03;18:03:37;División Pacífico;4;Sacramento Kings;7;3;4;767;790;-23
2021/11/03;18:03:37;División Pacífico;5;Los Angeles Clippers;6;2;4;613;618;-5
2021/11/03;18:03:37;División Suroeste;1;Dallas Mavericks;7;4;3;700;743;-43
2021/11/03;18:03:37;División Suroeste;2;Memphis Grizzlies;7;4;3;779;799;-20
2021/11/03;18:03:37;División Suroeste;3;San Antonio Spurs;7;2;5;770;773;-3
2021/11/03;18:03:37;División Suroeste;4;Houston Rockets;7;1;6;726;774;-48
2021/11/03;18:03:37;División Suroeste;5;New Orleans Pelicans;8;1;7;830;889;-59
