Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/10/27;00:58:58;División Atlántico;1;New York Knicks;3;2;1;363;340;23
2021/10/27;00:58:58;División Atlántico;2;Philadelphia 76ers;3;2;1;341;314;27
2021/10/27;00:58:58;División Atlántico;3;Brooklyn Nets;4;2;2;417;437;-20
2021/10/27;00:58:58;División Atlántico;4;Boston Celtics;4;2;2;464;479;-15
2021/10/27;00:58:58;División Atlántico;5;Toronto Raptors;4;1;3;401;395;6
2021/10/27;00:58:58;División Central;1;Chicago Bulls;4;4;0;430;390;40
2021/10/27;00:58:58;División Central;2;Milwaukee Bucks;4;3;1;462;461;1
2021/10/27;00:58:58;División Central;3;Cleveland Cavaliers;4;2;2;433;437;-4
2021/10/27;00:58:58;División Central;4;Indiana Pacers;4;1;3;467;468;-1
2021/10/27;00:58:58;División Central;5;Detroit Pistons;3;0;3;274;313;-39
2021/10/27;00:58:58;División Sureste;1;Charlotte Hornets;4;3;1;486;469;17
2021/10/27;00:58:58;División Sureste;2;Miami Heat;3;2;1;335;287;48
2021/10/27;00:58:58;División Sureste;3;Washington Wizards;3;2;1;323;321;2
2021/10/27;00:58:58;División Sureste;4;Atlanta Hawks;3;2;1;330;292;38
2021/10/27;00:58:58;División Sureste;5;Orlando Magic;4;1;3;393;455;-62
2021/10/27;00:58:58;División Noroeste;1;Utah Jazz;2;2;0;217;187;30
2021/10/27;00:58:58;División Noroeste;2;Denver Nuggets;3;2;1;299;293;6
2021/10/27;00:58:58;División Noroeste;3;Minnesota Timberwolves;3;2;1;318;302;16
2021/10/27;00:58:58;División Noroeste;4;Portland Trail Blazers;3;1;2;341;345;-4
2021/10/27;00:58:58;División Noroeste;5;Oklahoma City Thunder;3;0;3;280;346;-66
2021/10/27;00:58:58;División Pacífico;1;Golden State Warriors;3;3;0;355;334;21
2021/10/27;00:58:58;División Pacífico;2;Phoenix Suns;3;1;2;318;349;-31
2021/10/27;00:58:58;División Pacífico;3;Los Angeles Clippers;3;1;2;343;321;22
2021/10/27;00:58:58;División Pacífico;4;Los Angeles Lakers;3;1;2;340;354;-14
2021/10/27;00:58:58;División Pacífico;5;Sacramento Kings;3;1;2;332;350;-18
2021/10/27;00:58:58;División Suroeste;1;Memphis Grizzlies;3;2;1;370;356;14
2021/10/27;00:58:58;División Suroeste;2;Dallas Mavericks;2;1;1;190;208;-18
2021/10/27;00:58:58;División Suroeste;3;Houston Rockets;3;1;2;327;322;5
2021/10/27;00:58:58;División Suroeste;4;San Antonio Spurs;3;1;2;330;320;10
2021/10/27;00:58:58;División Suroeste;5;New Orleans Pelicans;4;1;3;405;439;-34
