Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/11/04;19:26:54;División Atlántico;1;Philadelphia 76ers;8;6;2;888;823;65
2021/11/04;19:26:54;División Atlántico;2;Toronto Raptors;9;6;3;948;902;46
2021/11/04;19:26:54;División Atlántico;3;Brooklyn Nets;8;5;3;849;840;9
2021/11/04;19:26:54;División Atlántico;4;New York Knicks;8;5;3;904;883;21
2021/11/04;19:26:54;División Atlántico;5;Boston Celtics;8;3;5;889;917;-28
2021/11/04;19:26:54;División Central;1;Chicago Bulls;8;6;2;866;810;56
2021/11/04;19:26:54;División Central;2;Cleveland Cavaliers;9;5;4;938;944;-6
2021/11/04;19:26:54;División Central;3;Milwaukee Bucks;8;4;4;875;872;3
2021/11/04;19:26:54;División Central;4;Indiana Pacers;9;3;6;1001;1004;-3
2021/11/04;19:26:54;División Central;5;Detroit Pistons;7;1;6;666;760;-94
2021/11/04;19:26:54;División Sureste;1;Miami Heat;7;6;1;809;692;117
2021/11/04;19:26:54;División Sureste;2;Washington Wizards;8;5;3;887;878;9
2021/11/04;19:26:54;División Sureste;3;Charlotte Hornets;9;5;4;1032;1034;-2
2021/11/04;19:26:54;División Sureste;4;Atlanta Hawks;8;4;4;863;863;0
2021/11/04;19:26:54;División Sureste;5;Orlando Magic;9;2;7;910;984;-74
2021/11/04;19:26:54;División Noroeste;1;Utah Jazz;7;6;1;786;703;83
2021/11/04;19:26:54;División Noroeste;2;Denver Nuggets;8;4;4;811;795;16
2021/11/04;19:26:54;División Noroeste;3;Minnesota Timberwolves;7;3;4;734;744;-10
2021/11/04;19:26:54;División Noroeste;4;Portland Trail Blazers;8;3;5;888;878;10
2021/11/04;19:26:54;División Noroeste;5;Oklahoma City Thunder;7;1;6;677;769;-92
2021/11/04;19:26:54;División Pacífico;1;Golden State Warriors;7;6;1;779;710;69
2021/11/04;19:26:54;División Pacífico;2;Los Angeles Lakers;8;5;3;907;901;6
2021/11/04;19:26:54;División Pacífico;3;Sacramento Kings;8;4;4;879;889;-10
2021/11/04;19:26:54;División Pacífico;4;Phoenix Suns;6;3;3;638;651;-13
2021/11/04;19:26:54;División Pacífico;5;Los Angeles Clippers;7;3;4;739;733;6
2021/11/04;19:26:54;División Suroeste;1;Dallas Mavericks;8;5;3;809;851;-42
2021/11/04;19:26:54;División Suroeste;2;Memphis Grizzlies;8;5;3;887;905;-18
2021/11/04;19:26:54;División Suroeste;3;San Antonio Spurs;8;2;6;878;882;-4
2021/11/04;19:26:54;División Suroeste;4;Houston Rockets;7;1;6;726;774;-48
2021/11/04;19:26:54;División Suroeste;5;New Orleans Pelicans;9;1;8;929;1001;-72
