Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/10/24;09:48:27;División Atlántico;1;New York Knicks;2;2;0;259;230;29
2021/10/24;09:48:27;División Atlántico;2;Brooklyn Nets;2;1;1;218;236;-18
2021/10/24;09:48:27;División Atlántico;3;Philadelphia 76ers;2;1;1;226;211;15
2021/10/24;09:48:27;División Atlántico;4;Toronto Raptors;3;1;2;293;284;9
2021/10/24;09:48:27;División Atlántico;5;Boston Celtics;2;0;2;217;253;-36
2021/10/24;09:48:27;División Central;1;Chicago Bulls;3;3;0;319;282;37
2021/10/24;09:48:27;División Central;2;Milwaukee Bucks;3;2;1;343;352;-9
2021/10/24;09:48:27;División Central;3;Cleveland Cavaliers;3;1;2;334;350;-16
2021/10/24;09:48:27;División Central;4;Indiana Pacers;3;1;2;358;349;9
2021/10/24;09:48:27;División Central;5;Detroit Pistons;2;0;2;170;191;-21
2021/10/24;09:48:27;División Sureste;1;Washington Wizards;2;2;0;233;217;16
2021/10/24;09:48:27;División Sureste;2;Charlotte Hornets;2;2;0;246;234;12
2021/10/24;09:48:27;División Sureste;3;Miami Heat;2;1;1;228;197;31
2021/10/24;09:48:27;División Sureste;4;Atlanta Hawks;2;1;1;208;188;20
2021/10/24;09:48:27;División Sureste;5;Orlando Magic;2;0;2;193;244;-51
2021/10/24;09:48:27;División Noroeste;1;Utah Jazz;2;2;0;217;187;30
2021/10/24;09:48:27;División Noroeste;2;Minnesota Timberwolves;2;2;0;220;195;25
2021/10/24;09:48:27;División Noroeste;3;Denver Nuggets;2;2;0;212;194;18
2021/10/24;09:48:27;División Noroeste;4;Portland Trail Blazers;2;1;1;255;229;26
2021/10/24;09:48:27;División Noroeste;5;Oklahoma City Thunder;2;0;2;177;231;-54
2021/10/24;09:48:27;División Pacífico;1;Golden State Warriors;2;2;0;236;227;9
2021/10/24;09:48:27;División Pacífico;2;Sacramento Kings;2;1;1;225;231;-6
2021/10/24;09:48:27;División Pacífico;3;Phoenix Suns;3;1;2;318;349;-31
2021/10/24;09:48:27;División Pacífico;4;Los Angeles Clippers;2;0;2;227;235;-8
2021/10/24;09:48:27;División Pacífico;5;Los Angeles Lakers;2;0;2;219;236;-17
2021/10/24;09:48:27;División Suroeste;1;Memphis Grizzlies;2;2;0;252;235;17
2021/10/24;09:48:27;División Suroeste;2;Houston Rockets;2;1;1;230;215;15
2021/10/24;09:48:27;División Suroeste;3;Dallas Mavericks;2;1;1;190;208;-18
2021/10/24;09:48:27;División Suroeste;4;San Antonio Spurs;3;1;2;330;320;10
2021/10/24;09:48:27;División Suroeste;5;New Orleans Pelicans;3;0;3;298;341;-43
