Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/11/08;17:45:52;División Atlántico;1;Philadelphia 76ers;10;8;2;1111;1026;85
2021/11/08;17:45:52;División Atlántico;2;Brooklyn Nets;10;7;3;1061;1033;28
2021/11/08;17:45:52;División Atlántico;3;New York Knicks;10;6;4;1126;1107;19
2021/11/08;17:45:52;División Atlántico;4;Toronto Raptors;11;6;5;1152;1120;32
2021/11/08;17:45:52;División Atlántico;5;Boston Celtics;10;4;6;1088;1102;-14
2021/11/08;17:45:52;División Central;1;Chicago Bulls;9;6;3;971;924;47
2021/11/08;17:45:52;División Central;2;Cleveland Cavaliers;11;7;4;1166;1154;12
2021/11/08;17:45:52;División Central;3;Milwaukee Bucks;10;4;6;1067;1086;-19
2021/11/08;17:45:52;División Central;4;Indiana Pacers;11;4;7;1201;1205;-4
2021/11/08;17:45:52;División Central;5;Detroit Pistons;9;1;8;854;965;-111
2021/11/08;17:45:52;División Sureste;1;Miami Heat;9;7;2;1005;902;103
2021/11/08;17:45:52;División Sureste;2;Washington Wizards;10;7;3;1103;1059;44
2021/11/08;17:45:52;División Sureste;3;Charlotte Hornets;11;5;6;1248;1294;-46
2021/11/08;17:45:52;División Sureste;4;Atlanta Hawks;10;4;6;1078;1100;-22
2021/11/08;17:45:52;División Sureste;5;Orlando Magic;11;3;8;1106;1186;-80
2021/11/08;17:45:52;División Noroeste;1;Utah Jazz;10;7;3;1117;1026;91
2021/11/08;17:45:52;División Noroeste;2;Denver Nuggets;9;5;4;906;889;17
2021/11/08;17:45:52;División Noroeste;3;Portland Trail Blazers;10;5;5;1103;1074;29
2021/11/08;17:45:52;División Noroeste;4;Minnesota Timberwolves;8;3;5;818;848;-30
2021/11/08;17:45:52;División Noroeste;5;Oklahoma City Thunder;9;3;6;883;967;-84
2021/11/08;17:45:52;División Pacífico;1;Golden State Warriors;9;8;1;1025;902;123
2021/11/08;17:45:52;División Pacífico;2;Phoenix Suns;8;5;3;882;879;3
2021/11/08;17:45:52;División Pacífico;3;Los Angeles Clippers;9;5;4;963;923;40
2021/11/08;17:45:52;División Pacífico;4;Sacramento Kings;10;5;5;1110;1093;17
2021/11/08;17:45:52;División Pacífico;5;Los Angeles Lakers;10;5;5;1101;1113;-12
2021/11/08;17:45:52;División Suroeste;1;Dallas Mavericks;9;6;3;916;955;-39
2021/11/08;17:45:52;División Suroeste;2;Memphis Grizzlies;9;5;4;974;1020;-46
2021/11/08;17:45:52;División Suroeste;3;San Antonio Spurs;10;3;7;1074;1070;4
2021/11/08;17:45:52;División Suroeste;4;New Orleans Pelicans;10;1;9;1014;1127;-113
2021/11/08;17:45:52;División Suroeste;5;Houston Rockets;10;1;9;1038;1112;-74
