Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/11/07;16:58:42;División Atlántico;1;Philadelphia 76ers;10;8;2;1111;1026;85
2021/11/07;16:58:42;División Atlántico;2;Brooklyn Nets;9;6;3;945;930;15
2021/11/07;16:58:42;División Atlántico;3;New York Knicks;9;6;3;1017;981;36
2021/11/07;16:58:42;División Atlántico;4;Toronto Raptors;10;6;4;1049;1004;45
2021/11/07;16:58:42;División Atlántico;5;Boston Celtics;10;4;6;1088;1102;-14
2021/11/07;16:58:42;División Central;1;Chicago Bulls;9;6;3;971;924;47
2021/11/07;16:58:42;División Central;2;Cleveland Cavaliers;10;6;4;1040;1045;-5
2021/11/07;16:58:42;División Central;3;Milwaukee Bucks;9;4;5;973;985;-12
2021/11/07;16:58:42;División Central;4;Indiana Pacers;10;3;7;1107;1114;-7
2021/11/07;16:58:42;División Central;5;Detroit Pistons;9;1;8;854;965;-111
2021/11/07;16:58:42;División Sureste;1;Miami Heat;9;7;2;1005;902;103
2021/11/07;16:58:42;División Sureste;2;Washington Wizards;9;6;3;1002;965;37
2021/11/07;16:58:42;División Sureste;3;Charlotte Hornets;10;5;5;1142;1174;-32
2021/11/07;16:58:42;División Sureste;4;Atlanta Hawks;10;4;6;1078;1100;-22
2021/11/07;16:58:42;División Sureste;5;Orlando Magic;10;2;8;999;1086;-87
2021/11/07;16:58:42;División Noroeste;1;Utah Jazz;9;7;2;1017;919;98
2021/11/07;16:58:42;División Noroeste;2;Denver Nuggets;9;5;4;906;889;17
2021/11/07;16:58:42;División Noroeste;3;Portland Trail Blazers;10;5;5;1103;1074;29
2021/11/07;16:58:42;División Noroeste;4;Minnesota Timberwolves;8;3;5;818;848;-30
2021/11/07;16:58:42;División Noroeste;5;Oklahoma City Thunder;8;2;6;784;873;-89
2021/11/07;16:58:42;División Pacífico;1;Golden State Warriors;8;7;1;905;795;110
2021/11/07;16:58:42;División Pacífico;2;Phoenix Suns;8;5;3;882;879;3
2021/11/07;16:58:42;División Pacífico;3;Sacramento Kings;9;5;4;1019;999;20
2021/11/07;16:58:42;División Pacífico;4;Los Angeles Clippers;8;4;4;843;817;26
2021/11/07;16:58:42;División Pacífico;5;Los Angeles Lakers;10;5;5;1101;1113;-12
2021/11/07;16:58:42;División Suroeste;1;Dallas Mavericks;9;6;3;916;955;-39
2021/11/07;16:58:42;División Suroeste;2;Memphis Grizzlies;9;5;4;974;1020;-46
2021/11/07;16:58:42;División Suroeste;3;San Antonio Spurs;9;3;6;980;971;9
2021/11/07;16:58:42;División Suroeste;4;Houston Rockets;9;1;8;931;992;-61
2021/11/07;16:58:42;División Suroeste;5;New Orleans Pelicans;10;1;9;1014;1127;-113
