Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/10/23;12:03:17;División Atlántico;1;New York Knicks;2;2;0;259;230;29
2021/10/23;12:03:17;División Atlántico;2;Toronto Raptors;2;1;1;198;181;17
2021/10/23;12:03:17;División Atlántico;3;Brooklyn Nets;2;1;1;218;236;-18
2021/10/23;12:03:17;División Atlántico;4;Philadelphia 76ers;2;1;1;226;211;15
2021/10/23;12:03:17;División Atlántico;5;Boston Celtics;2;0;2;217;253;-36
2021/10/23;12:03:17;División Central;1;Chicago Bulls;2;2;0;222;200;22
2021/10/23;12:03:17;División Central;2;Milwaukee Bucks;2;1;1;222;241;-19
2021/10/23;12:03:17;División Central;3;Indiana Pacers;2;0;2;256;258;-2
2021/10/23;12:03:17;División Central;4;Detroit Pistons;1;0;1;88;94;-6
2021/10/23;12:03:17;División Central;5;Cleveland Cavaliers;2;0;2;233;255;-22
2021/10/23;12:03:17;División Sureste;1;Miami Heat;1;1;0;137;95;42
2021/10/23;12:03:17;División Sureste;2;Washington Wizards;2;2;0;233;217;16
2021/10/23;12:03:17;División Sureste;3;Charlotte Hornets;2;2;0;246;234;12
2021/10/23;12:03:17;División Sureste;4;Atlanta Hawks;1;1;0;113;87;26
2021/10/23;12:03:17;División Sureste;5;Orlando Magic;2;0;2;193;244;-51
2021/10/23;12:03:17;División Noroeste;1;Utah Jazz;2;2;0;217;187;30
2021/10/23;12:03:17;División Noroeste;2;Denver Nuggets;2;2;0;212;194;18
2021/10/23;12:03:17;División Noroeste;3;Minnesota Timberwolves;1;1;0;124;106;18
2021/10/23;12:03:17;División Noroeste;4;Portland Trail Blazers;1;0;1;121;124;-3
2021/10/23;12:03:17;División Noroeste;5;Oklahoma City Thunder;2;0;2;177;231;-54
2021/10/23;12:03:17;División Pacífico;1;Golden State Warriors;2;2;0;236;227;9
2021/10/23;12:03:17;División Pacífico;2;Phoenix Suns;2;1;1;213;215;-2
2021/10/23;12:03:17;División Pacífico;3;Sacramento Kings;2;1;1;225;231;-6
2021/10/23;12:03:17;División Pacífico;4;Los Angeles Clippers;1;0;1;113;115;-2
2021/10/23;12:03:17;División Pacífico;5;Los Angeles Lakers;2;0;2;219;236;-17
2021/10/23;12:03:17;División Suroeste;1;Memphis Grizzlies;1;1;0;132;121;11
2021/10/23;12:03:17;División Suroeste;2;Houston Rockets;2;1;1;230;215;15
2021/10/23;12:03:17;División Suroeste;3;San Antonio Spurs;2;1;1;219;199;20
2021/10/23;12:03:17;División Suroeste;4;Dallas Mavericks;1;0;1;87;113;-26
2021/10/23;12:03:17;División Suroeste;5;New Orleans Pelicans;2;0;2;209;245;-36
