Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/10/25;19:59:04;División Atlántico;1;New York Knicks;3;2;1;363;340;23
2021/10/25;19:59:04;División Atlántico;2;Philadelphia 76ers;3;2;1;341;314;27
2021/10/25;19:59:04;División Atlántico;3;Toronto Raptors;3;1;2;293;284;9
2021/10/25;19:59:04;División Atlántico;4;Brooklyn Nets;3;1;2;313;347;-34
2021/10/25;19:59:04;División Atlántico;5;Boston Celtics;3;1;2;324;350;-26
2021/10/25;19:59:04;División Central;1;Chicago Bulls;3;3;0;319;282;37
2021/10/25;19:59:04;División Central;2;Milwaukee Bucks;3;2;1;343;352;-9
2021/10/25;19:59:04;División Central;3;Cleveland Cavaliers;3;1;2;334;350;-16
2021/10/25;19:59:04;División Central;4;Indiana Pacers;3;1;2;358;349;9
2021/10/25;19:59:04;División Central;5;Detroit Pistons;2;0;2;170;191;-21
2021/10/25;19:59:04;División Sureste;1;Charlotte Hornets;3;3;0;357;329;28
2021/10/25;19:59:04;División Sureste;2;Washington Wizards;2;2;0;233;217;16
2021/10/25;19:59:04;División Sureste;3;Miami Heat;2;1;1;228;197;31
2021/10/25;19:59:04;División Sureste;4;Atlanta Hawks;2;1;1;208;188;20
2021/10/25;19:59:04;División Sureste;5;Orlando Magic;3;1;2;303;348;-45
2021/10/25;19:59:04;División Noroeste;1;Utah Jazz;2;2;0;217;187;30
2021/10/25;19:59:04;División Noroeste;2;Minnesota Timberwolves;2;2;0;220;195;25
2021/10/25;19:59:04;División Noroeste;3;Denver Nuggets;2;2;0;212;194;18
2021/10/25;19:59:04;División Noroeste;4;Portland Trail Blazers;2;1;1;255;229;26
2021/10/25;19:59:04;División Noroeste;5;Oklahoma City Thunder;3;0;3;280;346;-66
2021/10/25;19:59:04;División Pacífico;1;Golden State Warriors;3;3;0;355;334;21
2021/10/25;19:59:04;División Pacífico;2;Phoenix Suns;3;1;2;318;349;-31
2021/10/25;19:59:04;División Pacífico;3;Los Angeles Lakers;3;1;2;340;354;-14
2021/10/25;19:59:04;División Pacífico;4;Sacramento Kings;3;1;2;332;350;-18
2021/10/25;19:59:04;División Pacífico;5;Los Angeles Clippers;2;0;2;227;235;-8
2021/10/25;19:59:04;División Suroeste;1;Memphis Grizzlies;3;2;1;370;356;14
2021/10/25;19:59:04;División Suroeste;2;Dallas Mavericks;2;1;1;190;208;-18
2021/10/25;19:59:04;División Suroeste;3;Houston Rockets;3;1;2;327;322;5
2021/10/25;19:59:04;División Suroeste;4;San Antonio Spurs;3;1;2;330;320;10
2021/10/25;19:59:04;División Suroeste;5;New Orleans Pelicans;3;0;3;298;341;-43
